date,venue_code,venue_name,race_number,finish_position,boat_number,racer_id,racer_name,exhibition_time,start_timing,race_time
2024-01-01,24,大村,12,2,2,4251,川　崎　　誠　志,6.79,0.17,1.50.0
2024-01-01,24,大村,12,3,6,4890,石　川　　　　諒,6.81,0.12,1.50.8
2024-01-01,24,大村,12,4,5,4567,上　村　　慎太郎,6.79,0.24,1.52.6
2024-01-01,24,大村,12,4,4,5231,寺　田　　空　詩,6.79,0.1,
2024-01-01,24,大村,12,4,3,5152,丸　山　　祐　也,6.77,0.14,
2024-01-01,24,大村,1,2,1,4980,佐々木　　完　太,6.86,0.06,1.49.3
2024-01-01,24,大村,1,4,3,4234,野　相　　弘　司,6.9,0.12,1.52.3
2024-01-01,24,大村,1,4,2,5101,表　　　　健　太,6.86,0.15,1.53.3
2024-01-01,24,大村,1,3,5,5032,谷　口　　知　優,6.88,0.16,1.54.1
2024-01-01,24,大村,1,1,4,3878,胡　本　　悟　志,6.92,0.24,
2024-01-01,24,大村,1,4,6,5181,森　　　　智　哉,6.92,0.13,
2024-01-01,24,大村,2,3,2,5170,佐　藤　　太　亮,6.91,0.22,1.50.4
2024-01-01,24,大村,2,4,4,4237,大　峯　　　　豊,6.87,0.16,1.51.6
2024-01-01,24,大村,2,4,5,3710,吉　永　　泰　弘,6.97,0.18,1.52.5
2024-01-01,24,大村,2,2,1,4264,長　尾　　章　平,6.94,0.22,1.53.9
2024-01-01,24,大村,2,4,6,4703,森　永　　　　隆,6.95,0.2,
2024-01-01,24,大村,2,1,3,4323,山　田　　佑　樹,6.94,0.2,
2024-01-01,24,大村,3,2,1,3158,島　川　　光　男,6.87,0.18,1.50.0
2024-01-01,24,大村,3,4,3,3661,柳　瀬　　興　志,6.85,0.23,1.51.1
2024-01-01,24,大村,3,3,6,4239,竹　田　　辰　也,6.82,0.18,1.51.6
2024-01-01,24,大村,3,4,4,5106,山　崎　　　　祥,6.88,0.28,1.54.0
2024-01-01,24,大村,3,4,5,5238,笹　木　　香　吾,6.84,0.18,
2024-01-01,24,大村,3,1,2,3568,木　村　　光　宏,6.87,0.17,
2024-01-01,24,大村,4,4,1,4015,前　野　　竜　一,6.89,0.21,1.50.6
2024-01-01,24,大村,4,3,3,3305,小　野　　信　樹,6.94,0.24,1.51.9
2024-01-01,24,大村,4,4,2,4950,高　岡　　竜　也,6.84,0.27,1.53.3
2024-01-01,24,大村,4,2,4,3930,岸　本　　　　隆,6.89,0.19,1.54.3
2024-01-01,24,大村,4,4,6,5263,花　田　　凱　成,6.84,0.25,
2024-01-01,24,大村,4,1,5,4697,國　弘　　翔　平,6.83,0.22,
2024-01-01,24,大村,5,1,1,3350,藤　本　　佳　史,6.85,0.08,1.49.4
2024-01-01,24,大村,5,4,6,3897,白　井　　英　治,6.88,0.13,1.51.2
2024-01-01,24,大村,5,3,4,4020,川　上　　清　人,6.88,0.18,1.52.6
2024-01-01,24,大村,5,4,5,5311,小　林　　京　平,6.89,0.22,1.55.6
2024-01-01,24,大村,5,4,2,3462,竹　上　　真　司,6.98,0.13,
2024-01-01,24,大村,5,2,3,4735,角　山　　雄　哉,6.9,0.13,
2024-01-01,24,大村,6,2,1,4263,武　重　　雄　介,6.78,0.25,1.50.9
2024-01-01,24,大村,6,3,2,3176,長谷川　　　　巌,6.86,0.17,1.51.8
2024-01-01,24,大村,6,4,4,3901,松　田　　憲　幸,6.89,0.2,1.53.6
2024-01-01,24,大村,6,4,3,5170,佐　藤　　太　亮,6.85,0.16,1.54.8
